,NAME,AHA_ID,ZIP,STATE,SCORE,RANKING,LATITUDE,LONGITUDE,RAW_SCORE,Percentile Rank,STAR,NEW_COOR,LAT,LON
87,Aurora St. Luke's Medical Center,6450017,53151,WI,41.0/100,,42.9825503,-88.09516630051357,41.0,0.8548611111111111,5,"(42.9822, -88.0946)",42.9822,-88.0946
88,Las Palmas Medical Center,6741315,79902,TX,41.0/100,,31.7699876,-106.49834227113362,41.0,0.8548611111111111,5,"(31.7763, -106.4932)",31.7763,-106.4932
89,Amita Health Adventist La Grange Medical Center,6432055,60525,IL,40.9/100,,41.7970051,-87.8872484,40.9,0.85,5,"(41.7842, -87.8689)",41.7842,-87.8689
90,Beaumont Hospital-Dearborn,6440405,48124,MI,40.9/100,,42.2901126,-83.21473655701938,40.9,0.85,5,"(42.2941, -83.2536)",42.2941,-83.2536
91,Beaumont Hospital-Grosse Pointe,6441260,48230,MI,40.9/100,,42.38350985,-82.91382827966505,40.9,0.85,5,"(42.3847, -82.9244)",42.3847,-82.9244
92,Good Samaritan Hospital-Cincinnati,6410490,45220,OH,40.8/100,,39.13998455,-84.52170174904023,40.8,0.8472222222222222,5,"(39.1432, -84.5217)",39.1432,-84.5217
93,Henry Mayo Newhall Hospital,6933488,91355,CA,40.7/100,,34.39823345,-118.55308717938074,40.7,0.8458333333333333,5,"(34.3985, -118.5535)",34.3985,-118.5535
94,Eisenhower Medical Center,6932324,92270,CA,40.6/100,,33.76336495,-116.406171354673,40.6,0.84375,5,"(33.7643, -116.4225)",33.7643,-116.4225
95,George Washington University Hospital,6330140,20037,DC,40.6/100,,38.90137665,-77.05061590670616,40.6,0.84375,5,"(38.9014, -77.0504)",38.9014,-77.0504
96,Adventist Health Glendale,6930831,91020,CA,40.5/100,,34.2051877,-118.2199722,40.5,0.8402777777777778,5,"(34.2114, -118.2305)",34.2114,-118.2305
97,Missouri Baptist Medical Center,6631100,63131,MO,40.5/100,,38.636162600000006,-90.4463108730643,40.5,0.8402777777777778,5,"(38.6171, -90.4504)",38.6171,-90.4504
98,Temple University Hospital,6232300,19140,PA,40.5/100,,40.005307900000005,-75.1508235158642,40.5,0.8402777777777778,5,"(40.0118, -75.1456)",40.0118,-75.1456
99,Duke Regional Hospital,6360440,27704,NC,40.4/100,,36.03643695,-78.8996543662317,40.4,0.8375,5,"(36.0383, -78.8764)",36.0383,-78.8764
100,Sanford Medical Center Fargo,6640180,58122,ND,40.3/100,,46.8455717,-96.8768192811754,40.3,0.8361111111111111,5,"(46.8772, -96.7898)",46.8772,-96.7898
101,Lehigh Valley Hospital-Cedar Crest,6230013,18105,PA,40.2/100,,40.5649685,-75.52189506886113,40.2,0.8340277777777778,5,"(40.6084, -75.4902)",40.6084,-75.4902
102,Rhode Island Hospital,6150150,02903,RI,40.2/100,,41.8118618,-71.4091293,40.2,0.8340277777777778,5,"(41.82, -71.4158)",41.82,-71.4158
103,Memorial Hermann Greater Heights Hospital,6741952,77008,TX,40.1/100,,29.81062595,-95.43131932604167,40.1,0.83125,5,"(29.7991, -95.4118)",29.7991,-95.4118
104,Methodist Richardson Medical Center,6742911,75082,TX,40.1/100,,32.996120700000006,-96.66711120747496,40.1,0.83125,5,"(32.9865, -96.686)",32.9865,-96.686
105,Banner Del E. Webb Medical Center,6860430,85375,AZ,40.0/100,,33.65980525,-112.37280075731924,40.0,0.8291666666666667,5,"(33.6856, -112.3659)",33.6856,-112.3659
106,Augusta University Medical Center,6380254,30912,GA,39.9/100,,33.471100050000004,-81.98981674626567,39.9,0.8270833333333333,5,"(33.4705, -81.9881)",33.4705,-81.9881
107,Providence Holy Cross Medical Center,6932860,91345,CA,39.9/100,,34.28080275,-118.45888287512756,39.9,0.8270833333333333,5,"(34.2619, -118.4587)",34.2619,-118.4587
108,Ochsner Medical Center,6720631,70121,LA,39.8/100,,29.9610677,-90.14567367271772,39.8,0.8236111111111111,5,"(29.9614, -90.1577)",29.9614,-90.1577
109,St. Luke's University Hospital-Bethlehem Campus,6230049,18015,PA,39.8/100,,40.60928045,-75.39319740140317,39.8,0.8236111111111111,5,"(40.6002, -75.3805)",40.6002,-75.3805
110,University of Illinois Hospital,6430553,60612,IL,39.8/100,,41.869717300000005,-87.67046328405777,39.8,0.8236111111111111,5,"(41.8805, -87.6873)",41.8805,-87.6873
111,Advocate Good Shepherd Hospital,6430160,60010,IL,39.7/100,,42.1953222,-88.17399300655737,39.7,0.8201388888888889,5,"(42.1614, -88.1383)",42.1614,-88.1383
112,Ascension St. Alexius Hospital,6431926,60169,IL,39.5/100,,42.054060750000005,-88.14157982795683,39.5,0.8159722222222222,5,"(42.0493, -88.1065)",42.0493,-88.1065
113,Carle Foundation Hospital,6433070,61801,IL,39.5/100,,40.1171527,-88.2160753073114,39.5,0.8159722222222222,5,"(40.1095, -88.2036)",40.1095,-88.2036
114,Kaiser Permanente San Francisco Medical Center,6930015,94080,CA,39.5/100,,37.65965475,-122.43985693178024,39.5,0.8159722222222222,5,"(37.6574, -122.4235)",37.6574,-122.4235
115,Piedmont Fayette Hospital,6380024,30214,GA,39.5/100,,33.45314975,-84.5078021547979,39.5,0.8159722222222222,5,"(33.4679, -84.4806)",33.4679,-84.4806
116,Pennsylvania Hospital,6230022,19107,PA,39.4/100,,39.9453079,-75.15567002165827,39.4,0.8118055555555556,5,"(39.9487, -75.1593)",39.9487,-75.1593
117,Swedish First Hill Hospital,6910006,98122,WA,39.4/100,,47.6086804,-122.32266206832728,39.4,0.8118055555555556,5,"(47.6116, -122.3056)",47.6116,-122.3056
118,ECU Health Medical Center,6360690,27834,NC,39.2/100,,35.60743515,-77.40324884464727,39.2,0.8097222222222222,5,"(35.6192, -77.3975)",35.6192,-77.3975
119,HonorHealth Scottsdale Shea Medical Center,6860395,85258,AZ,39.1/100,,33.578619450000005,-111.88363582748406,39.1,0.8076388888888889,5,"(33.5647, -111.8931)",33.5647,-111.8931
120,UF Health Jacksonville,6390082,32209,FL,39.1/100,,30.3484582,-81.66491490988216,39.1,0.8076388888888889,5,"(30.3584, -81.692)",30.3584,-81.692
121,Chester County Hospital,6233400,19380,PA,39.0/100,,39.97134345,-75.60194110695176,39.0,0.8048611111111111,5,"(39.9845, -75.5962)",39.9845,-75.5962
122,Cleveland Clinic Akron General,6410010,44307,OH,39.0/100,,41.0784507,-81.53172862857143,39.0,0.8048611111111111,5,"(41.0695, -81.5488)",41.0695,-81.5488
123,Research Medical Center,6630435,64132,MO,38.9/100,,39.00993505,-94.5597490400278,38.9,0.8013888888888889,5,"(38.9911, -94.5522)",38.9911,-94.5522
124,UPMC Passavant,6232540,15237,PA,38.9/100,,40.57410565,-80.01057467415487,38.9,0.8013888888888889,5,"(40.5488, -80.0474)",40.5488,-80.0474
125,Virginia Mason Medical Center,6910780,98101,WA,38.9/100,,47.6101681,-122.32788525305163,38.9,0.8013888888888889,5,"(47.6114, -122.3305)",47.6114,-122.3305
126,Kaiser Permanente Sunnyside Medical Center,6920045,97015,OR,38.8/100,,45.431215550000005,-122.56041261810408,38.8,0.7979166666666667,4,"(45.415, -122.52)",45.415,-122.52
127,Memorial Hermann Hospital,6741890,77074,TX,38.8/100,,29.6938503,-95.52216338049186,38.8,0.7979166666666667,4,"(29.6896, -95.5106)",29.6896,-95.5106
128,Ascension Providence Hospital-Southfield,6440780,48075,MI,38.7/100,,42.4575589,-83.2053083149466,38.7,0.7951388888888888,4,"(42.4638, -83.2255)",42.4638,-83.2255
129,Sentara Virginia Beach General Hospital,6341162,23454,VA,38.7/100,,36.8648269,-76.0263521,38.7,0.7951388888888888,4,"(36.8282, -76.0237)",36.8282,-76.0237
130,Baptist Memorial Hospital-Memphis,6520681,38120,TN,38.6/100,,35.12865085,-89.86071256181081,38.6,0.7923611111111111,4,"(35.1207, -89.8651)",35.1207,-89.8651
131,SCL Health St. Joseph Hospital,6840400,80218,CO,38.6/100,,39.7461762,-104.9710857,38.6,0.7923611111111111,4,"(39.7327, -104.9717)",39.7327,-104.9717
132,UMass Memorial Medical Center,6141095,01605,MA,38.4/100,,42.285242,-71.78967731415291,38.4,0.7902777777777777,4,"(42.2894, -71.7888)",42.2894,-71.7888
133,ChristianaCare Hospitals,6310120,21921,MD,38.3/100,,39.609261700000005,-75.83205073607274,38.3,0.7881944444444444,4,"(39.6264, -75.8458)",39.6264,-75.8458
134,Jefferson Health-Abington Hospital,6230010,19001,PA,38.3/100,,40.1196538,-75.12019398442041,38.3,0.7881944444444444,4,"(40.1238, -75.1148)",40.1238,-75.1148
135,Inova Loudoun Hospital,6340400,20176,VA,38.2/100,,39.0744725,-77.47767107767453,38.2,0.7854166666666667,4,"(39.1821, -77.5359)",39.1821,-77.5359
136,Kaiser Permanente Downey Medical Center,6930243,90242,CA,38.2/100,,33.9189345,-118.12806825381875,38.2,0.7854166666666667,4,"(33.9218, -118.1395)",33.9218,-118.1395
137,Johns Hopkins Bayview Medical Center,6320050,21224,MD,38.1/100,,39.29121285,-76.5490695530589,38.1,0.7819444444444444,4,"(39.2876, -76.5568)",39.2876,-76.5568
138,Providence Alaska Medical Center,6940020,99515,AK,38.1/100,,61.1871675,-149.8194390739112,38.1,0.7819444444444444,4,"(61.1194, -149.8974)",61.1194,-149.8974
139,Providence St. Joseph Medical Center-Burbank,6930340,91505,CA,38.1/100,,34.1562348,-118.3285235568085,38.1,0.7819444444444444,4,"(34.169, -118.3442)",34.169,-118.3442
140,Porter Adventist Hospital,6840360,80210,CO,38.0/100,,39.6710749,-104.97620830859658,38.0,0.7791666666666667,4,"(39.679, -104.9631)",39.679,-104.9631
141,Billings Clinic,6810020,59101,MT,37.9/100,,45.78960595,-108.51365771273277,37.9,0.7777777777777778,4,"(45.7745, -108.5005)",45.7745,-108.5005
142,Memorial Regional Hospital,6390295,33021,FL,37.8/100,,26.01958385,-80.17993680948575,37.8,0.7743055555555556,4,"(26.0218, -80.1891)",26.0218,-80.1891
143,Methodist Dallas Medical Center,6741018,75203,TX,37.8/100,,32.761253350000004,-96.82504595860804,37.8,0.7743055555555556,4,"(32.746, -96.807)",32.746,-96.807
144,St. David's South Austin Medical Center,6740095,78704,TX,37.8/100,,30.22612945,-97.77460740541336,37.8,0.7743055555555556,4,"(30.2428, -97.7658)",30.2428,-97.7658
145,Banner Estrella Medical Center,6860036,85037,AZ,37.7/100,,33.47826845,-112.2573789049543,37.7,0.7701388888888889,4,"(33.4913, -112.2468)",33.4913,-112.2468
146,Swedish Medical Center,6840530,80113,CO,37.7/100,,39.6542801,-104.98121539103656,37.7,0.7701388888888889,4,"(39.6405, -104.9614)",39.6405,-104.9614
147,Advocate Condell Medical Center,6432080,60048,IL,37.5/100,,42.2745807,-87.95734141815933,37.5,0.7666666666666667,4,"(42.281, -87.95)",42.281,-87.95
148,Geisinger Wyoming Valley Medical Center,6232725,18711,PA,37.5/100,,41.257512950000006,-75.80758933120761,37.5,0.7666666666666667,4,"(41.2722, -75.8801)",41.2722,-75.8801
149,Jewish Hospital-Mercy Health,6419060,45243,OH,37.5/100,,39.2059068,-84.36973853543049,37.5,0.7666666666666667,4,"(39.1848, -84.3448)",39.1848,-84.3448
150,Chesapeake Regional Medical Center,6340145,23320,VA,37.4/100,,36.74815625,-76.24709958904123,37.4,0.7638888888888888,4,"(36.7352, -76.2384)",36.7352,-76.2384
151,Medical City Plano,6742865,75075,TX,37.3/100,,33.0214002,-96.76653591263404,37.3,0.7611111111111111,4,"(33.025, -96.7397)",33.025,-96.7397
152,WellStar Kennestone Hospital,6380775,30061,GA,37.3/100,,33.96859775,-84.55290502969561,37.3,0.7611111111111111,4,"(33.9328, -84.556)",33.9328,-84.556
153,Northside Hospital Cherokee,6380382,30115,GA,37.1/100,,34.22885345,-84.46471166207907,37.1,0.7576388888888889,4,"(34.1993, -84.4199)",34.1993,-84.4199
154,Salem Hospital,6920708,97301,OR,37.1/100,,44.93245825,-123.03411759458548,37.1,0.7576388888888889,4,"(44.949, -123.004)",44.949,-123.004
155,Advocate Good Samaritan Hospital,6431475,60515,IL,36.9/100,,41.8200584,-88.00833511262515,36.9,0.7534722222222222,4,"(41.8034, -88.0138)",41.8034,-88.0138
156,Inova Alexandria Hospital,6340020,22304,VA,36.9/100,,38.8223813,-77.10473399085639,36.9,0.7534722222222222,4,"(38.8149, -77.121)",38.8149,-77.121
157,St. Peter's Hospital-Albany,6210070,12208,NY,36.9/100,,42.6550629,-73.80397557333298,36.9,0.7534722222222222,4,"(42.656, -73.7964)",42.656,-73.7964
